Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory,Price
Last Hours on Everest: The Gripping Story of Mallory and Irvine's fatal Ascent,Graham Hoyland,"Paperback,– 26 May 2014",4.3,4,"Dawn broke fine on that fatal day. A couple of thousand feet above the tiny canvas tent the summit of the world's highest mountain stood impassively, waiting for someone to have the courage to approach. Inside the ice-crusted shelter, two forms lay still as death. Then there was a groan, a stirring and eventually the slow scratch of match against sandpaper. Low voices shared the high-altitude agonies of waking, the heating of water and the struggle with frozen boots. As the sun rose through wisps of cloud beyond the Tibetan hills to the east, one of the men emerged through the tent flaps. It was a fine morning for the attempt, with only a few clouds in the sky. The two of them stood for a while, shuffling their feet and blowing into their hands. Inside the tent lay a mess of sleeping bags and food. The men lifted oxygen sets onto their backs, then they turned towards the mountain and stamped off into history. On the 6th June, 1924, George Mallory and Sandy Irvine disappeared into the mists of history. George Mallory's body was discovered high on Everest in 1999. Sandy Irvine's body is still believed to be on the mountain having been rediscovered in 1975 by a Chinese climber who was killed the very next day. Combining personal experience, the physical evidence found on the mountain and an insight into the hearts and minds of the two climbers, Graham Holland produces the most compelling description of what actually happened on that day and the answer to that most intriguing of questions did they actually climb Everest?",Biographies & Autobiographies (Books),Sports,469
Bones of the Hills (Conqueror),Conn Iggulden,"Paperback,– 8 Jul 2010",4.7,7,"The third novel in the No. 1 bestselling Conqueror series, following the life and adventures of the mighty Genghis Khan and his descendants
Genghis Khan has fulfilled his dream of uniting the many warring tribes of his lands into one great nation. He has taken his armies against the mighty cities of their oldest enemies. Now he finds trouble rising west of the Mongolian plains. His emissaries are being mutilated or killed and his trading gestures rebuffed. He decides to divide his armies to conquer, using his sons as generals and sending them out simultaneously in many directions.
As well as discovering new territories and laying waste the cities which resist, Genghis knows that the actions of his generals will help him decide who, from his rival sons and heirs, should succeed him as khan.",Action & Adventure (Books),Action & Adventure,359
House of Spies,Daniel Silva,"Paperback,– 6 Aug 2017",4.3,37,"From the No. 1 New York Times bestselling author of The Black Widow comes the thrilling new summer blockbuster featuring legendary spy, assassin and art restorer Gabriel Allon. Legendary spy, assassin and art restorer Gabriel Allon is back and out for revenge –determined to hunt down the world’s most dangerous terrorist, a shadowy ISIS mastermind known only as Saladin. Four months after the deadliest attack on the American homeland since 9/11, terrorists leave a trail of carnage through London’s West End. The attack is a brilliant feat of planning and secrecy, but with one loose thread: the French-Moroccan street criminal and ISIS operative who supplied the combat assault rifles. The thread leads Gabriel Allon and his team to the south of France and to the doorstep of Jean-Luc Martel and Olivia Watson. A beautiful former fashion model, Olivia pretends not to know that the true source of Martel’s enormous wealth is drugs. And Martel, likewise, turns a blind eye to the fact he is doing business with a man whose objective is the very destruction of the West. Together, under Gabriel’s skilled hand, they will become an unlikely pair of heroes in the global war on terror.",Action & Adventure (Books),Action & Adventure,225
"An Ember in the Ashes (Ember Quartet, Book 1)",Sabaa Tahir,"Paperback,– Import, 12 Jul 2018",4.3,48,"‘Keeps one reading long after the lights should have been out’ ROBIN HOBB
Read the explosive New York Times bestselling debut that’s captivated readers worldwide. Set to be a major motion picture, An Ember in the Ashes is the book everyone is talking about.
Under the Martial Empire, defiance is met with death.
When Laia’s grandparents are brutally murdered and her brother arrested for treason by the empire, the only people she has left to turn to are the rebels.
But in exchange for their help in saving her brother, they demand that Laia spy on the ruthless Commandant of Blackcliff, the Empire’s greatest military academy. Should she fail it’s more than her brother’s freedom at risk . . . Laia’s very life is at stake.
There, she meets Elias, the academy’s finest soldier. But Elias wants only to be free of the tyranny he’s being trained to enforce. He and Laia will soon realize that their destinies are intertwined – and that their choices will change the fate of the Empire itself.",Action & Adventure (Books),Romance,407.5
3000 Idioms and Phrases (English Improvement for Success),Sam Phillips,"Paperback,– 25 Apr 2019",3.9,15,"3000 Idioms and Phrases by Sam Phillips is an incomparable compilation of three thousand most popular idioms and phrases. Each of the idioms and phrases has been explained in easy to understand language with their meanings and how to use them properly to fit the context. The book is exceptionally handy for everyone-general learners, students, teachers, writers, authors, editors, journalists and the like.",Language Learning & Teaching (Books),"Language, Linguistics & Writing",125
OBJECTIVE Computer Awareness,R. Pillai,"Paperback,– 19 Oct 2014",4.1,404,"This book on basic computer knowledge is a simple, beginner’s guide into the world of computers. There are numerous examinations, held each year where the qualifying candidates are expected to have a basic knowledge of computers. To test the applicants on their knowledge of computer skills, most boards or institutions holding such recruitment exams add this section to the written test where the objective questions related to basic computing tasks are asked.
Arihant Experts have published this edition of R.Pillai’s Objective Computer Awareness, which serves as a good compilation of a large number of possible objective questions on Computer awareness. The book has 12 chapters in total; it describes various aspects of computer basics and proceeds with providing questions that can be framed from each topic at the end of the chapter. To help a reader test his or her knowledge, the book provides model test papers; so, an aspirant can perform a self-assessment and know how much more efforts need to be put in for qualifying the exam.
With over 1500 multiple choice questions based on computer awareness, this book is of good assistance for the candidates preparing for bank examinations for posts of PO, clerk, AAO and other examinations such as MCA, accountancy posts and other clerical and non-clerical posts where the recruiting body expects a candidate to have basic computer knowledge. The book also includes a detailed glossary containing important terminologies and abbreviations.
The edition was published in 2014 and contains almost everything that one needs to be thorough about the basics on computers. All candidates who are preparing for any such competitive examination where computer skills are one of the sections in the syllabus, will require the assistance of such a book for a deep theoretical reading and practice.
About the Author:
An experienced team of authors, editors, proof readers and teachers join together to bring out comprehensive guides for various public examinations that are held several times each year for filling up posts in various government departments. Backed with an experience of 15 years, Arihant Experts bring out revised editions of carefully designed, exam-oriented and exam-ready content after intensive research and analysis.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media",79
The Decameron (Signet Classics (Paperback)),Giovanni Boccaccio,"Mass Market Paperback,– 7 Dec 2010",5.0,2,"Set against the background of the Black Death of 1348, Giovanni Boccaccio's undisputed masterpiece recaptures both the tragedies and comedies of medieval life and is surely one of the greatest achievements in the history of literature.",Anthologies (Books),Humour,319
Comics for a Strange World: A Book of Poorly Drawn Lines,Reza Farazmand,"Paperback,– 24 Oct 2017",5.0,1,"""One of the funniest books I've read this year.""
—Boing Boing

Absurd comics for our absurd times, from the artist behind the wildly popular webcomic Poorly Drawn Lines.

In his follow up to the New York Times bestselling Poorly Drawn Lines, beloved webcomic artist Reza Farazmand returns with a new collection of comics that hilariously skewers our modern age. Comics for a Strange World takes readers through time, space, and alternate realities, reuniting fans with favorite characters and presenting them with even more bizarre scenarios. A child is arrested for plagiarism. A squirrel adapts to human society by purchasing a cell phone—and a gun. And an old man shares memories of the Internet with his granddaughter (“A vast network of millions of idiots. Together, the idiots created endless shitty ideas. It was a true renaissance of shit.”). In the world of Poorly Drawn Lines, nothing is too weird or too outlandish for parody.

Featuring 50% brand new content alongside some of the most popular comics of the past year, Comics for a Strange World is the perfect antidote to life’s absurdities.",Comics & Graphic Novels (Books),Comics & Mangas,798.44
Once Upon A Curfew,Srishti Chaudhary,"Paperback,– 18 Apr 2019",3.7,8,"It is 1974. Indu has inherited a flat from her grandmother and wants to turn it into a library for women. Her parents think this will keep her suitably occupied till she marries her fiancé, Rajat, who's away studying in London.
But then she meets Rana, a young lawyer with sparkling wit and a heart of gold. He helps set up the library and their days light up with playful banter and the many Rajesh Khanna movies they watch together.
When the Emergency is declared, Indu's life turns upside down. Rana finds himself in trouble, while Rajat decides it's time to visit India and settle down. As the Emergency pervades their lives, Indu must decide not only who but what kind of life she will choose.",Romance (Books),Romance,178
"Endure: Mind, Body and the Curiously Elastic Limits of Human Performance",Alex Hutchinson,"Paperback,– 26 Feb 2018",4.4,8,"This book is amazing ’ Malcolm Gladwell ‘if you want to gain insight into the mind of great athletes, adventurers and peak performers then prepare to be enthralled by Alex Hutchinson's endure. ’ – Bear Grylls
How high or far or fast can humans go? And what about individual potential, what defines a person’s limits? From running a two-hour marathon to summiting mount Everest, we’re fascinated by the extremes of human endurance, constantly testing both our physical and psychological limits.
in endure Alex Hutchinson, ph. D., Reveals why our individual limits may be determined as much by our head and heart, as by our muscles. He presents an overview of science’s search for understanding human fatigue, from crude experiments with electricity and frogs’ legs to sophisticated brain imaging technology. Going beyond the traditional mechanical view of human limits, he instead argues that a key element in endurance is how the brain responds to distress signals whether heat or cold or muscles screaming with lactic acid and reveals that we can train to improve brain response.
An Elite distance runner himself, Hutchinson takes us to the forefront of the new sports psychology brain electrode jolts, computer-based training, subliminal messaging and presents startling new discoveries enhancing the performance of athletes today, showing us how anyone can utilize these tactics to bolster their own performance and get the most out of their bodies.",Sports Training & Coaching (Books),Sports,443
Photographer's Playbook: Over 307 Assignments and Ideas,Jason Fulford,"Paperback,– 23 Jun 2014",5.0,1,"The best way to learn is by doing. The Photographer's Playbook features photography assignments, as well as ideas, stories, and anecdotes from many of the world's most talented photographers and photography professionals. Whether you're looking for exercises to improve your craft-alone or in a group-or you're interested in learning more about the medium, this playful collection will inspire fresh ways of engaging with photographic process. Inside you will find advice for better shooting and editing, creative ways to start new projects, games and activities, and insight into the practices of those responsible for our most iconic photographs-John Baldessari, Tina Barney, Philip-Lorca diCorcia, Jim Goldberg, Miranda July, Susan Meiselas, Stephen Shore, Alec Soth, Tim Walker, and many more. The book also features a Polaroid alphabet by Mike Slack, which divides each chapter, and a handy subject guide. Edited by acclaimed photographers Jason Fulford and Gregory Halpern, the assignments and project ideas in this book are indispensable for teachers and students, and great fun for everyone fascinated by taking pictures.",Photography Textbooks,"Arts, Film & Photography",1416
A Pale View of Hills,Kazuo Ishiguro,"Paperback,– 25 May 2010",2.5,3,"From the Nobel Prize-winning author of The Remains of the Day and Never Let Me Go
In his highly acclaimed debut, Kazuo Ishiguro tells the story of Etsuko, a Japanese woman now living alone in England, dwelling on the recent suicide of her daughter.
Retreating into the past, she finds herself reliving one particular hot summer night in Nagasaki, when she and her friends struggled to rebuild their lives after the war. But then as she recalls her strange friendship with Sachiko – a wealthy woman reduced to vagrancy – the memories take on a disturbing cast.",Action & Adventure (Books),Action & Adventure,399.14
The Essays (Penguin Classics),Francis Bacon,"Paperback,– 7 Jan 1986",3.8,3,"The genius of Francis Bacon is nowhere better revealed than in his essays.

Bacon’s education was grounded in the classical texts of ancient Greece and Rome, but he brought vividness and color to the arid scholasticism of medieval book-learning. Whatever their subject, whether it is something as personal as “Friendship” or as abstract as “Truth,” the essays combine a mixture of rhetoric and philosophy; and are perhaps the most complete and rounded examples of Bacon’s literary style.

Rather than merely summarizing popular philosophy or producing glib expositions of correct conduct, Bacon attempted to change the shape of the other men’s minds. He believed rhetoric, as the force eloquence and persuasion, could incline the mind towards the pure light of reason.",Essays (Books),Humour,310
The Summer Bride (A Chance Sisters Romance),Anne Gracie,"Mass Market Paperback,– 5 Jul 2016",4.0,1,"From the award-winning author of The Spring Bride comes the conclusion to the quartet about four sisters, four weddings, and a bride for every season...

Fiercely independent Daisy Chance has a dream—and it doesn’t involve marriage or babies (or being under any man’s thumb). Raised in poverty, she has a passion—and a talent—for making beautiful clothes. Daisy aims to become the finest dressmaker in London.
 
Dashing Irishman Patrick Flynn is wealthy and ambitious, and has entered society to find an aristocratic bride. Instead, he finds himself growing increasingly attracted to the headstrong, clever and outspoken Daisy. She’s wrong in every way—except the way she sets his heart racing.
 
However, when Flynn proposes marriage, Daisy refuses. She won't give up her hard-won independence. Besides, she doesn't want to join the fine ladies of society—she wants to dress them. She might, however, consider becoming Flynn's secret mistress...
 
But Flynn wants a wife, and when he sets his heart on something, nothing can stand in his way...",Romance (Books),Romance,161
Friday's Child,Georgette Heyer,"Paperback,– 1 Jun 2013",4.8,7,"Rejected by Miss Milborne, the incomparable, for his unsteadiness of character, wild Lord Sheringham is bent on avenging fate. Vowing to marry the first woman to cross his way, who should he see but Hero Wantage, the young and charmingly unsophisticated girl, who has loved him since childhood.",Contemporary Fiction (Books),Romance,399
Who Says Elephants Can’t Dance?: How I Turned Around IBM,Louis Gerstner,"Paperback,– 4 Aug 2003",4.2,29,"CEO Louis V. Gerstner Jr.’s memoir about the extraordinary turnaround of IBM and his transformation of the company into the industry leader of the computer age – the great American business story of our time.
When Louis V. Gerstner became CEO of IBM in 1993, shares had slumped and the company was on the verge of collapse. Hired for his successful management of RJR Nabisco and American Express, Gerstner had no background in technology, but during his seven-year chairmanship, he transformed the company into the leading force of the computer age. In his frank, direct voice, Gerstner recalls the obstacles he faced: the plans to fragment the company, the inconsistent global policies, the stodgy white-shirt hierarchy and inter-departmental competitiveness and the rapidly declining sales. Within months of joining IBM, Gerstner presented his bold and controversial business strategy. Punitive towards office politics, he revolutionised the company from within, altering an entire corporate culture, divesting billions of dollars in unneeded assets and transforming IBM from a fractured, process-driven business into a nimble, customer-driven enterprise able to respond quickly to the volatile technology market and face down Microsoft and Intel in the internet era. Revealing his tactics step by step, Gerstner spins an engaging narrative that takes the reader behind the curtain into the unbelievable mess he inherited and into the office and mind of a CEO facing the challenge of a lifetime.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",240.93
The Day I Stopped Drinking Milk: Life Stories from Here and There,Sudha Murty,"Paperback,– 31 Jul 2012",4.2,245,"Over the years, Sudha Murty has come across some fascinating people whose lives make for interesting stories and have astonishing lessons to reveal. Take Vishnu, who achieves every material success but never knows happiness; or Venkat, who talks so much that he has no time to listen. In other stories, a young girl goes on a train journey that changes her life forever; an impoverished village woman provides bathing water to hundreds of people in a drought-stricken area; a do-gooder ghost decides to teach a disconsolate young man Sanskrit; and in the title story, a woman in a flooded village in Odisha teaches the author a life lesson she will never forget.",Short Stories (Books),"Biographies, Diaries & True Accounts",155
Data Structures & Algorithms Interview Questions You'll Most Likely Be Asked: 6 (Job Interview Questions),Vibrant Publishers,"Paperback,– 1 May 2017",4.2,11,"200 Data Structures & Algorithms Interview Questions
77 HR Interview Questions
Real life scenario based questions
Strategies to respond to interview questions
2 Aptitude Tests
Data Structures & Algorithms Interview Questions You'll Most Likely Be Asked is a perfect companion to stand ahead above the rest in today's competitive job market. Rather than going through comprehensive, textbook-sized reference guides, this book includes only the information required immediately for job search to build an IT career. This book puts the interviewee in the driver's seat and helps them steer their way to impress the interviewer.
The following is included in this book:
(a) 200 Data Structures & Algorithms Interview Questions, Answers and proven strategies for getting hired as an IT professional
(b) Dozens of examples to respond to interview questions
(c) 77 HR Questions with Answers and proven strategies to give specific, impressive, answers that help nail the interviews
(d) 2 Aptitude Tests download available on www.vibrantpublishers.com",Programming Algorithms,"Computing, Internet & Digital Media",599
KP: The Autobiography,Kevin Pietersen,"Paperback,– 9 Dec 2014",4.1,35,"The fascinating life story of professional cricketer Kevin Pietersen, MBE, from his childhood in South Africa to his recent experiences as one of the leading lights in the world of international cricket.
Kevin was dropped from the England squad in February of this year, seemingly calling time on an international career that began nearly ten years earlier. The decision puzzled many observers - although the England team had failed miserably in the Ashes tour of 2013-14, Kevin was the tourists' leading run scorer across the series, and he remains the country's highest run scorer of all time across all formats of the game.
This autumn Kevin will reveal all in his autobiography, telling the stories behind the many other highs and lows of his incredible career. Giving readers the full story of his life, from his childhood in South Africa to his recent experiences as one of the leading lights in the world of international cricket, this will be an autobiography that entertains and fascinates readers in equal measure.",Biographies & Autobiographies (Books),Sports,375
Seabiscuit: The True Story of Three Men and a Racehorse,Laura Hillenbrand,"Paperback,– 28 Dec 2014",4.5,8,"Made into a major motion picture starring Toby Maguire and Jeff Daniels.
In 1938 one figure received more press coverage than Mussolini, Hitler or Roosevelt. He was a cultural icon and a world-class athlete - and an undersized, crooked-legged racehorse by the name of Seabiscuit.
Misunderstood and mishandled, Seabiscuit had spent seasons floundering in the lowest ranks of racing until a chance meeting of three men. Together, they created a champion. This is a story which topped the bestseller charts for over two years a riveting tale of grit, grace, luck and an underdog's stubborn determination to win against all odds.
The true story of three men and their dreams for a racehorse - Seabiscuit - which encompasses a pivotal moment in American history: its resurrection from the Depression.",Horse Racing (Books),Sports,450
A Dance with Dragons: Dreams and Dust,George R.R. Martin,"Paperback,– 15 Mar 2012",4.1,37,"HBO’s hit series A GAME OF THRONES is based on George R R Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age.
A DANCE WITH DRAGONS: DREAMS AND DUST is the FIRST part of the fifth volume in the series.
‘Richly satisfying and utterly engrossing’ Sunday Times
In the aftermath of a colossal battle, new threats are emerging from every direction.
Tyrion Lannister, having killed his father, and wrongfully accused of killing his nephew, King Joffrey, has escaped from King’s Landing with a price on his head.
To the north lies the great Wall of ice and stone – a structure only as strong as those guarding it. Eddard Stark's bastard son Jon Snow has been elected 998th Lord Commander of the Night’s Watch. But Jon has enemies both inside and beyond the Wall. And in the east Daenerys Targaryen struggles to hold a city built on dreams and dust.",Action & Adventure (Books),"Crime, Thriller & Mystery",309
India Quiz,Agarwal A.N.,"Paperback,– 8 Jan 1990",4.0,5,"A survey that includes India's environment and resources, its population and manpower, mythology and religion, history and culture, its economic framework, transport and communication, education and health, its freedom struggle and post-independence history, government and constitution, literature, science and technology, arts and entertainment and sports, India Quiz, in its multiple-choice format, provides fascinating snippets of information on all aspects of the country.",Games & Quizzes (Books),Sports,140
F2 World of Football: How to Play Like a Pro (Skills Book 1),F2 Freestylers,"Paperback,– 20 Oct 2016",4.4,5,"'The F2 are unbelievable - what they do is not possible!' - Pele We're The F2 and this is our World of Football. Inside we give away the biggest secrets of the greatest footballers on the planet. Want tricks like Neymar? Or to hit free-kicks like Ronaldo? Or to dribble like Messi? We show you how. We've been travelling the world, meeting the biggest stars, like Gareth Bale, Ronaldinho, Mesut OEzil, Pele and Stevie G, and now we give you the lowdown on what they're really like, and how they got their edge. We'll also let you in on our journey from aspiring pros to YouTube superstars with over 10 million followers. Want to know how to become a social media star? That's inside too. There's a free app to download that will make these pages come to life with exclusive videos, tricks and games. So, what are you waiting for? Open, read, learn, download and get out on the pitch and practise. Love, peace and tekkers, Billy and Jez, aka The F2 Enter the F2 World of Football competition!! Submit your pre-order confirmation for a chance to win a selection of amazing prizes, including having your book delivered to your door by Billy and Jez and featuring on their Vlog! Go to www.F2playlikeapro.co.uk for all the details.",Sports Training & Coaching (Books),Sports,1280
Making Friends,Andrew Matthews,"Paperback,– Import, 19 Jun 1991",1.0,1,"Offers advice on how to be a friend by being more of a contributor than a taker, emphasizing the positive, and learning to assert oneself, express anger but avoid arguments, learn from mistakes, and establish rules",Family & Relationships (Books),Humour,3951.07
Surya Namaskar,Satyananda Saraswati,"Paperback,– 21 Feb 2009",4.5,45,"Surya Namaskara, or salutation to the sun, is an important Yogic practice, which dates back to the Ancient Vedic period when the Sun was worshipped as a powerful symbol of Spiritual consciousness. From its esoteric Origins Surya Namaskara has developed into a practice of twelve postures which weave together to generate Prana (subtle energy), aiming towards the purification and Rejuvenation of the practitioner. This book discusses in detail the full practice of Surya Namaskara, including the surya and bija mantras, points of concentration and extended guidelines to Aid both practitioners and teachers. An in-depth Physiological Study of Surya Namaskara supports its present day use as a powerful therapeutic practice.",Martial Arts (Books),Sports,158
The Rise of Nine: Book 3 (The Lorien Legacies),Pittacus Lore,"Mass Market Paperback,– 25 Jul 2013",4.5,5,"IN THE BEGINNING WE WERE A GROUP OF NINE.
Nine aliens who left our home planet of Lorien when it fell under attack from the deadly Mogodorians.
We scattered on earth and went into hiding.
We look like ordinary teenagers.
We are not.
Until I met John Smith, Number Four, I'd been on the run alone, hiding and fighting to stay alive. Together we are much more powerful. But it could only last so long before we had to separate.
They caught Number One in Malaysia.
Number Two in England.
And Number Three in Kenya.
They caught me in New York - but I escaped.
I am Number Six. The Mogodorians want to finish what they started.
But they'll have to fight us first.",Children's Crime & Thriller (Books),"Crime, Thriller & Mystery",399
Emperor Chandragupta,Adity Kay,"Paperback,– 25 Oct 2016",3.5,14,"Building an empire is not easy, especially when there are enemies everywhere and no one you can trust. India, 326 BCE. The world's greatest conqueror, Alexander, the Greek emperor, is at its doorstep, having arrived at the Indus seeking to establish his dominion over the entire known world. In the east lies Magadha, ruled by the Nandas, a dynasty driven by greed, lust and hunger for power. From the embers of that lust and avarice a boy has been born, raised by a tribe of peacock-tamers – a boy named Moriya forced by the Nanda clan to be on the run. Aided by Chanakya, a political strategist at odds with his former rulers, who trains him in the ways of the world and christens him Chandragupta, the young man ventures across the vast Magadhan empire to form an army of his own and seek out the foreign invader. But being a warrior prince, he finds, comes at a heavy price – assassins appointed by the Nanda kings will stop at nothing to eliminate him, a rival prince seeks revenge through cruelty and friends are no longer what they seem… This is the story of a youth who must fight against all odds – within and without – to become one of the greatest emperors ever known. This is the story of Chandragupta Maurya.",Action & Adventure (Books),Action & Adventure,220
Sikkim - Dawn of Democracy: The Truth Behind The Merger With India,GBS Sidhu,"Hardcover,– 29 Oct 2018",4.2,6,"It was in 1973 that G.B.S. Sidhu, a young official with the newly set-up Research and Analysis Wing (R&AW), took charge of the field office in Gangtok in 1973. With an insider's view of the events that led to the Chogyal's ouster, he presents a first-hand account of the fledgling democracy movement and the struggle for reforms led by Kazi Lhendup Dorji in a society that was struggling to come to terms with the modern world.
In his fast-paced, clear-sighted narrative, Sidhu tracks the reasons behind New Delhi's shift from a long-standing pro-Chogyal stand to a pro-democracy position and maps the political alignments on the ground in Sikkim. He outlines the interplay of personalities-Indira Gandhi, the Chogyal, the Kazi, and the Indian officials and intelligence agencies involved-to reveal the chain of events that led to the merger of the Himalayan kingdom with India.",Government (Books),Politics,366
Charlie and the Great Glass Elevator (Dahl Fiction),Roald Dahl,"Paperback,– 26 Apr 2016",4.5,62,"Phizzwhizzing new cover look and branding for the World's NUMBER ONE Storyteller! WHOOSH! Inside the Great Glass Elevator, Willy Wonka, Charlie Bucket and his family are cruising a thousand feet above the chocolate factory. They can see the whole world below them, but they're not alone. The American Space Hotel has just launched. Lurking inside are the Vernicious Knids - the most brutal, vindictive murderous beasts in the universe. So grab your gizzard! Hold your hats! Only Charlie and Willy Wonka can stop the Knids from destroying everything! Listen to CHARLIE AND THE GREAT GLASS ELEVATOR and other Roald Dahl audiobooks read by some very famous voices, including Kate Winslet, David Walliams and Steven Fry - plus there are added squelchy soundeffects from Pinewood Studios! Look out for new Roald Dahl apps in the App store and Google Play- including the disgusting TWIT OR MISS! and HOUSE OF TWITS inspired by the revolting Twits.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",319
Less: Winner of the Pulitzer Prize for Fiction 2018,Andrew Sean Greer,"Paperback,– 15 Jun 2018",4.0,35,"WINNER OF THE PULITZER PRIZE FOR FICTION 2018
'You will sob little tears of joy' Nell Zink
'I recommend it with my whole heart' Ann Patchett
'I adore this book' Armistead Maupin
'Charming, languid and incredibly funny, I absolutely adored Arthur' Jenny Colgan
'Marvellously, endearingly, unexpectedly funny' Gary Shteyngart
'Bedazzling, bewitching and be-wonderful' New York Times Book Review
'A fast and rocketing read . . . a wonderful, wonderful book!' Karen Joy Fowler
'Hilarious, and wise, and abundantly funny' Adam Haslett
WHO SAYS YOU CAN'T RUN AWAY FROM YOUR PROBLEMS?
Arthur Less is a failed novelist about to turn fifty. A wedding invitation arrives in the post: it is from an ex-boyfriend of nine years who is engaged to someone else. Arthur can't say yes - it would be too awkward; he can't say no - it would look like defeat. So, he begins to accept the invitations on his desk to half-baked literary events around the world.
From France to India, Germany to Japan, Arthur almost falls in love, almost falls to his death, and puts miles between him and the plight he refuses to face. Less is a novel about mishaps, misunderstandings and the depths of the human heart.",Romance (Books),Romance,408
Out of the Dark (An Orphan X Thriller),Gregg Hurwitz,"Paperback,– 25 Feb 2019",5.0,2,"The President for President Jonathan Bennett, reaching the White House was the realisation of lifetime's ambition. He's leader of the free world and the most powerful man on Earth. But public support for his administration is wearing thin. And if the truth about his rise to the top was exposed it would bury him. The assassin as a boy, evan Smoak was taken from his foster home and inducted into a top secret cold War programme. Code named orphan X, he was trained to become a lethal weapon, then despatched around the world to do whatever was required to keep his country safe. When evan discovered the mission was rotten to the core he got out, using his skills to hide in plain sight while helping those left behind by mainstream justice. The reckoning but evan knows about the president's dark past. And that's dangerous knowledge. To save himself and his country, evan must ask himself one simple question: how do you kill the most well-protected man on Earth? And, when he knows you're coming for him, how do you stay alive long enough to try? One thing is certain: a desperate call for help from another unfortunate in urgent need of evan's protection isn't going to make it any easier... Breathtakingly bold, brilliantly accomplished and blisteringly fast-paced, out of the dark is the day of the Jackal for the twenty-first century.",Action & Adventure (Books),Action & Adventure,449
Practical Workflow for SAP,Jocelyn Dart,"Hardcover,– 2014",3.9,9,"One resource. All of your SAP Business Workflow needs. Reorganized and fine-tuned, the third edition of this #1 best-seller is packed with information and better than ever. Pick the sections or chapters that are most relevant to you; focus on the provided conceptual explanations, technical instructions, or both. You’ll find important topics such as configuration, administration and troubleshooting, design and enhancement. If you know the basics, you’ll find value in the coverage provided for SAP’s changed landscape such as SAPUI5, SAP Fiori, SAP HANA and much more.
Get the whole story on creating, maintaining and customizing
workflows in SAP
Learn about workflow for all the major SAP applications
Update your skills with coverage of SAP HANA, SAP Fiori,
BRF+ and more
3rd edition, updated and expanded
Workflow Concepts
Administration Concepts
Workflow Development
Enhancements
Contents at a Glance
PART I Getting Started with Workflow in SAP
Introduction
Requirements Gathering Strategy
Configuring the System
Work Item Delivery
Agents
Setting Up an SAP-Provided SAP ERP Workflow
SAP Operational Process Intelligence Powered by SAP HANA
PART II Administering Workflows
Workflow Administration
Using SAP Business Warehouse for SAP Business Workflow Reporting
Administration Troubleshooting Guide
Advanced Diagnostics
Upgrading SAP Business Workflow
PART III Developing Workflows
Creating a Workflow
Advanced Workflow Design Techniques
Business Objects
ABAP Classes
Agent Determination Rules
Using Events and Other Business Interfaces
Custom Programs
Service-Enabling Workflows
BRFplus and SAP Decision Service Management
PART IV Enhancing Workflows
22 User Interface Options
Using Web Dynpro ABAP
Using Web Dynpro Java
Using Business Server Pages
Using Forms
Using SAPUI5
PART V Using SAP Business Workflow in SAP Applications
ArchiveLink
SAP Supplier Relationship Management
SAP Customer Relationship Management
SAP ERP Human Capital Management—Processes and
Forms
SAP Governance, Risk and Compliance
SAP Fiori and Mobility
AP Master Data Governance",Software & Business Applications (Books),"Computing, Internet & Digital Media",2275
Essential Words for the GRE (Barron's Essential Words for the GRE),Philip Geer Ed.M.,"Paperback,– 1 Jun 2016",5.0,3,"An extensive working vocabulary is a prerequisite for test-taking success on the Graduate Record Exam. This book presents 800 graduate-level words with definitions that frequently appear on the exam. Words are used in different contexts to familiarize test takers with their many variations. The book’s additional features include a pre-test that helps to diagnose weaknesses, a lengthy word list with extensive practice exercises, and a chapter that discusses and analyzes essential word roots. The book concludes with a post-test to assess progress. Answers are provided for all exercises and for all questions in the pre- and post-test.",Vocabulary Books,"Language, Linguistics & Writing",808
"Supreme Whispers: Supreme Court Judges, 1980-90",Abhinav Chandrachud,"Hardcover,– 30 May 2018",4.6,10,"In 1980, a brilliant young American scholar, George H. Gadbois, Jr., met five judges of the Supreme Court of India. The judges gave him astonishing details: about what they actually thought of their colleagues, about the inner workings and politics of the court, their interactions with the government and the judicial appointments process, among many other things. This was only the beginning. Over the course of that decade, Gadbois visited India on two more occasions and conducted over 116 interviews with more than sixty-six judges of the Supreme Court of India (nineteen of whom held the post of chief justice of India),
and others such as senior lawyers, politicians, relatives of deceased judges, and court staff. During each meeting, Gadbois diligently took down handwritten notes, which he later typed up on his typewriter, recording nearly every detail of what the judges had told him, sometimes to a fault.
Relying on these typewritten interviews, Abhinav Chandrachud sheds light on a decade of politics, decision-making and legal culture in the Supreme Court of India. This book yields a fascinating glimpse into the secluded world of the judges of the Supreme Court in the 1980s and earlier.","Arts History, Theory & Criticism (Books)","Arts, Film & Photography",350
